ID	ID_AUTEUR	ID_RECUEIL	ID_POEME	TYPE_TEXTE	LM	PROFIL	NBR	REPETITION	REGLE	DESCRIPTION	REMARQUES	DATE	
HUG1269.lm:6	HUG	HUG_24	HUG1269	poem	6	6	14		0.1	mètre simple		2022-06-12	
HUG127.lm:12	HUG	HUG_6	HUG127	poem	12	6+6	16		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG127.lm:6	HUG	HUG_6	HUG127	poem	6	6	8		0.1	mètre simple		2022-06-12	
HUG1270.lm:7	HUG	HUG_24	HUG1270	poem	7	7	24		0.1	mètre simple		2022-06-12	
HUG1271.lm:12	HUG	HUG_24	HUG1271	poem	12	6−6	34		1.1.2.1.2.1	profil traditionnel avec vers entravé(s)		2022-06-12	
HUG1272.lm:8	HUG	HUG_24	HUG1272	poem	8	8	16		0.1	mètre simple		2022-06-12	
HUG1273.lm:7	HUG	HUG_24	HUG1273	poem	7	7	84		0.1	mètre simple		2022-06-12	
HUG1274.lm:12	HUG	HUG_24	HUG1274	poem	12	6+6	10		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1275.lm:12	HUG	HUG_24	HUG1275	poem	12	6+6	10		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1276.lm:12	HUG	HUG_24	HUG1276	poem	12	6+6	8		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1277.lm:12	HUG	HUG_24	HUG1277	poem	12	6+6	16		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1278.lm:12	HUG	HUG_24	HUG1278	poem	12	6+6	21		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1279.lm:12	HUG	HUG_24	HUG1279	poem	12	6+6	32		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG128.lm:12	HUG	HUG_6	HUG128	poem	12	6+6	22		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG128.lm:6	HUG	HUG_6	HUG128	poem	6	6	22		0.1	mètre simple		2022-06-12	
HUG1280.lm:12	HUG	HUG_24	HUG1280	poem	12	6+6	34		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1281.lm:8	HUG	HUG_24	HUG1281	poem	8	8	28		0.1	mètre simple		2022-06-12	
HUG1282.lm:12	HUG	HUG_24	HUG1282	poem	12	6−6	124		1.1.2.1.2.1	profil traditionnel avec vers entravé(s)		2022-06-12	
HUG1283.lm:12	HUG	HUG_24	HUG1283	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1284.lm:8	HUG	HUG_24	HUG1284	poem	8	8	20		0.1	mètre simple		2022-06-12	
HUG1285.lm:12	HUG	HUG_24	HUG1285	poem	12	6+6	20		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1286.lm:12	HUG	HUG_24	HUG1286	poem	12	6+6	28		1.1.2.1.1	profil traditionnel		2022-06-12	
HUG1286.lm:8	HUG	HUG_24	HUG1286	poem	8	8	14		0.1	mètre simple		2022-06-12	
HUG1287.lm:8	HUG	HUG_24	HUG1287	poem	8	8	90		0.1	mètre simple		2022-06-12	
HUG1288.lm:12	HUG	HUG_24	HUG1288	poem	12	6+6	18		1.1.2.1.1	profil traditionnel		2022-06-12	
